,ticker,look_back,look_front,trainScore,testScore
0,ABBV,1,1,1.067051493345317,1.7929514254579857
1,ABBV,2,0,2.3466806724208316,1.860516626441767
2,ABBV,2,2,1.2484120719815766,2.1988030087511303
3,ABBV,4,0,2.6394836166721656,2.307055600291721
4,ABBV,3,3,1.2506812394413962,2.5622860612949503
5,ABBV,6,0,2.8005266793451713,2.390051526158744
6,ACN,1,1,3.0782201291801314,5.098300383668856
7,ACN,2,0,6.675164608782798,6.24930330449012
8,ACN,2,2,3.9619431200382187,6.012084084296472
9,ACN,4,0,7.1913439276362885,6.842967073225931
10,ACN,3,3,4.1461091041089055,7.076004445195165
11,ACN,6,0,7.69718042023143,7.289726734627705
12,AEP,1,1,0.868238832566193,1.0822646221476322
13,AEP,2,0,1.716999920760138,1.2217617689113787
14,AEP,2,2,0.8197226004072635,1.2060191031818719
15,AEP,4,0,1.7582427678776986,1.322773222615973
16,AEP,3,3,0.9739304286395082,1.3078089641897457
17,AEP,6,0,2.0183439088714787,1.40105923450556
18,AIZ,1,1,2.909607990352948,5.778012149962362
19,AIZ,2,0,4.159446935152758,5.520286866058022
20,AIZ,2,2,1.9649738400321843,3.0765979956942346
21,AIZ,4,0,4.20239159811366,3.54648413686047
22,AIZ,3,3,2.6304760782643597,3.3620529673006585
23,AIZ,6,0,4.2865175491828875,2.897798302758651
24,ALLE,1,1,1.3056215401108369,1.7786082260648461
25,ALLE,2,0,2.46963702866147,2.0754248033838696
26,ALLE,2,2,1.3135071346406415,2.128427272255646
27,ALLE,4,0,2.5725940869883996,2.325513243342253
28,ALLE,3,3,1.4511941703299474,2.478447342080191
29,ALLE,6,0,2.8371949769751934,2.5928333326451893
30,AMAT,1,1,2.01496494666606,3.06528102830509
31,AMAT,2,0,3.861990053490592,3.3993989681314982
32,AMAT,2,2,2.5338544217186625,3.5066655200971026
33,AMAT,4,0,4.268158106945698,3.9225083533554628
34,AMAT,3,3,2.76276057333678,4.11911982290089
35,AMAT,6,0,4.616832551969669,4.2815152991475225
36,AMP,1,1,3.8312493352864023,4.972033511265243
37,AMP,2,0,7.393436313743598,5.741037880389615
38,AMP,2,2,3.78299047487504,6.17546050519576
39,AMP,4,0,8.185083286944536,5.982170621009343
40,AMP,3,3,4.27599525063618,6.8750148854758075
41,AMP,6,0,8.700718162546384,6.1090812621637625
42,AMZN,1,1,2.9444985139889024,5.11906338695508
43,AMZN,2,0,5.283864861592588,6.007871234237613
44,AMZN,2,2,2.6375838867245713,3.9114869328363833
45,AMZN,4,0,5.543786229730098,4.433248547760293
46,AMZN,3,3,2.482211794488486,3.513202349520025
47,AMZN,6,0,6.0870117706500775,3.9693522944665647
48,AVB,1,1,2.2186707218652932,3.618546389104261
49,AVB,2,0,4.042631043119873,3.0848292221355615
50,AVB,2,2,2.5741891655241895,3.4644798850917873
51,AVB,4,0,4.667042960889512,3.050622998956751
52,AVB,3,3,2.772191433990644,3.16657086199287
53,AVB,6,0,5.411440439523897,3.4408281764899113
54,AVY,1,1,1.8090217395838717,2.9328822918160844
55,AVY,2,0,4.126830171231673,3.2793957940632885
56,AVY,2,2,1.9694417738330063,3.1696179136342
57,AVY,4,0,4.230084159478384,3.0721654025494485
58,AVY,3,3,2.4925398929971925,3.5294607861375917
59,AVY,6,0,4.254710600413965,3.0095718498712936
60,AXP,1,1,1.7528668394421913,3.273048971219403
61,AXP,2,0,4.054201267655456,3.6518777304132337
62,AXP,2,2,2.267963594006125,3.722688948123748
63,AXP,4,0,4.5359788105073715,4.399652183496789
64,AXP,3,3,2.683874030615539,4.292627873967072
65,AXP,6,0,4.581555491201338,4.631831080661553
66,BDX,1,1,2.0728323174040093,2.782837302210111
67,BDX,2,0,4.7781106466576615,2.9116285306820004
68,BDX,2,2,2.4222747665916695,2.8666968269567983
69,BDX,4,0,4.915043203904292,2.7545010736047693
70,BDX,3,3,2.3211410618380075,2.9028813426408804
71,BDX,6,0,4.7402547092824845,2.7323927449172656
